filename,width,height,class,xmin,ymin,xmax,ymax
WhatsApp-Image-2023-04-15-at-10-42-09-AM_jpeg.rf.0607270927448ea684cddd5be6bc155f.jpg,640,640,Fona,291,361,373,406
WhatsApp-Image-2023-04-15-at-10-42-09-AM_jpeg.rf.0607270927448ea684cddd5be6bc155f.jpg,640,640,Alovera,345,457,463,499
WhatsApp-Image-2023-04-15-at-10-42-09-AM_jpeg.rf.0607270927448ea684cddd5be6bc155f.jpg,640,640,Sunmask,274,248,445,291
WhatsApp-Image-2023-04-15-at-10-42-09-AM_jpeg.rf.0607270927448ea684cddd5be6bc155f.jpg,640,640,Astagen,356,152,459,195
329606481_227364869875032_1072736942345153023_n_jpg.rf.05ead1c25486f2dd461b748c922e68cd.jpg,640,640,Esonix M,139,74,253,101
329606481_227364869875032_1072736942345153023_n_jpg.rf.05ead1c25486f2dd461b748c922e68cd.jpg,640,640,Avolac,136,140,234,171
329606481_227364869875032_1072736942345153023_n_jpg.rf.05ead1c25486f2dd461b748c922e68cd.jpg,640,640,Don A,173,227,268,253
329606481_227364869875032_1072736942345153023_n_jpg.rf.05ead1c25486f2dd461b748c922e68cd.jpg,640,640,Palnox,162,295,259,325
329606481_227364869875032_1072736942345153023_n_jpg.rf.05ead1c25486f2dd461b748c922e68cd.jpg,640,640,Glucose,75,358,180,395
340996508_2376780355833701_1144281427448938987_n_jpg.rf.05e51fdd7c57961e234d6543762f3ffa.jpg,640,640,Clopid,233,174,295,199
340996508_2376780355833701_1144281427448938987_n_jpg.rf.05e51fdd7c57961e234d6543762f3ffa.jpg,640,640,Atova,250,208,334,230
340996508_2376780355833701_1144281427448938987_n_jpg.rf.05e51fdd7c57961e234d6543762f3ffa.jpg,640,640,Fusid,288,371,376,396
340996508_2376780355833701_1144281427448938987_n_jpg.rf.05e51fdd7c57961e234d6543762f3ffa.jpg,640,640,NeuroB,284,402,393,434
340996508_2376780355833701_1144281427448938987_n_jpg.rf.05e51fdd7c57961e234d6543762f3ffa.jpg,640,640,Coralcal D,289,440,405,464
340996508_2376780355833701_1144281427448938987_n_jpg.rf.05e51fdd7c57961e234d6543762f3ffa.jpg,640,640,Exium Mups,301,468,464,494
340996508_2376780355833701_1144281427448938987_n_jpg.rf.05e51fdd7c57961e234d6543762f3ffa.jpg,640,640,Metacard MR,254,241,398,266
340996508_2376780355833701_1144281427448938987_n_jpg.rf.05e51fdd7c57961e234d6543762f3ffa.jpg,640,640,Prazopress,282,300,419,320
340996508_2376780355833701_1144281427448938987_n_jpg.rf.05e51fdd7c57961e234d6543762f3ffa.jpg,640,640,Omidon,301,499,404,525
WhatsApp-Image-2023-04-15-at-10-42-07-AM_jpeg.rf.07ea0484fa417e472242676e7602f87b.jpg,640,640,Mysulin,220,197,305,222
WhatsApp-Image-2023-04-15-at-10-42-07-AM_jpeg.rf.07ea0484fa417e472242676e7602f87b.jpg,640,640,Glyxam,258,221,335,241
WhatsApp-Image-2023-04-15-at-10-42-07-AM_jpeg.rf.07ea0484fa417e472242676e7602f87b.jpg,640,640,Nobesit,266,241,346,259
WhatsApp-Image-2023-04-15-at-10-42-07-AM_jpeg.rf.07ea0484fa417e472242676e7602f87b.jpg,640,640,Noclog Plus,258,271,379,293
WhatsApp-Image-2023-04-15-at-10-42-07-AM_jpeg.rf.07ea0484fa417e472242676e7602f87b.jpg,640,640,Rocovas,267,292,342,311
WhatsApp-Image-2023-04-15-at-10-42-07-AM_jpeg.rf.07ea0484fa417e472242676e7602f87b.jpg,640,640,Betacor,269,310,340,329
WhatsApp-Image-2023-04-15-at-10-42-07-AM_jpeg.rf.07ea0484fa417e472242676e7602f87b.jpg,640,640,Tems,270,331,327,349
WhatsApp-Image-2023-04-15-at-10-42-07-AM_jpeg.rf.07ea0484fa417e472242676e7602f87b.jpg,640,640,Unicus,273,366,342,383
WhatsApp-Image-2023-04-15-at-10-42-07-AM_jpeg.rf.07ea0484fa417e472242676e7602f87b.jpg,640,640,Omidon,284,385,367,401
WhatsApp-Image-2023-04-15-at-10-42-07-AM_jpeg.rf.07ea0484fa417e472242676e7602f87b.jpg,640,640,Disopan,283,404,364,422
WhatsApp-Image-2023-04-12-at-12-46-22-AM_jpeg.rf.026956ae4a07616e022825dbeae3160a.jpg,640,640,Zifolet,465,260,563,285
WhatsApp-Image-2023-04-12-at-12-46-22-AM_jpeg.rf.026956ae4a07616e022825dbeae3160a.jpg,640,640,Paloxi,488,348,578,380
WhatsApp-Image-2023-04-12-at-12-46-22-AM_jpeg.rf.026956ae4a07616e022825dbeae3160a.jpg,640,640,Maxpro,476,441,572,461
WhatsApp-Image-2023-04-12-at-12-46-22-AM_jpeg.rf.026956ae4a07616e022825dbeae3160a.jpg,640,640,Viset,492,533,572,555
